name;website;image_url;categories;parent name;parent location;parent level;reason;source_url
Meysu;;https://seeklogo.com/images/M/meysu-logo-96F1807DD1-seeklogo.com.png;[];;global;alternative;;
Lush;;https://upload.wikimedia.org/wikipedia/commons/6/61/Lush_Logo.png;[];;global;alternative;;
Kızılay;;https://www.kizilayicecek.com.tr/media/5q4por04/kizilay_i%C3%A7ecek_logo.png;[];;global;alternative;;
Ülker;;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/%C3%9Clker_logo.svg/2560px-%C3%9Clker_logo.svg.png;[];;global;alternative;;
Spa;;https://cdn.worldvectorlogo.com/logos/spa-water-reine.svg;[];;global;alternative;;
Croky;;https://www.makeitfly.group/sites/default/files/styles/inline_image/public/2023-05/logo%20%282%29.png?itok=Lhxib8Op;[];;global;alternative;;
Duru;;https://seeklogo.com/images/D/duru-logo-9FC719ACD3-seeklogo.com.png;[];;global;alternative;;
Torku;;https://seeklogo.com/images/T/torku-logo-8390D867D6-seeklogo.com.png;[];;global;alternative;;
Hamidiye Su;;https://seeklogo.com/images/H/hamidiye-logo-66D9D05F2E-seeklogo.com.png;[];;global;alternative;;
Boron;;;[];;global;alternative;;
Tadelle;;https://marmarabati.com/images/1680430833.png;[];;global;alternative;;
Eti;;https://upload.wikimedia.org/wikipedia/commons/c/c3/Eti_logo.png;[];;global;alternative;;
Golf;;https://seeklogo.com/images/G/golf-dondurma-logo-141599D9D3-seeklogo.com.png;[];;global;alternative;;
Uludağ İçecek;;https://www.uludagicecek.com.tr/_assets/img/logo.png;[];;global;alternative;;
Çaykur;;https://seeklogo.com/images/1/caykur-logo-4F7E835FA7-seeklogo.com.png;[];;global;alternative;;
Huda Beauty;;https://financo.com/wp-content/uploads/2020/07/hudabeauty.png;[];;global;alternative;;
Didi;;https://logodix.com/logo/40946.png;[];;global;alternative;;
Turkish Airlines;;https://1000logos.net/wp-content/uploads/2020/04/Turkish_Airlines_logo.png;[];;global;alternative;;
Bingo;;https://images.ofix.com/description-image/bingologo.png?output=webp;[];;global;alternative;;
HalalBooking;;https://cdn.halalstatic.com/assets/front/shared/logo/international_opengraph-0ba8be03a1001bc4a7aef97b1be0f990de58b92233e787a1d71a66d0765b7aa8.png;[];;global;alternative;;
Brave Search;;https://assets.stickpng.com/images/623af54d27d4946aceae2f81.png;[];;global;alternative;;
Firefox;;https://upload.wikimedia.org/wikipedia/commons/1/16/Firefox_logo%2C_2017.png;[];;global;alternative;;
